"Kuukausi","Liikkeet, lkm Rovaniemi","Huoneet, lkm Rovaniemi","Huonek�ytt�aste, % Rovaniemi","Huoneen keskihinta Rovaniemi","Vuoteet, lkm Rovaniemi","Vuodek�ytt�aste, % Rovaniemi","Y�pymisen keskihinta Rovaniemi","RevPar, EUR Rovaniemi","Y�pymiset, lkm Rovaniemi","Kotimaiset y�pymiset, lkm Rovaniemi","Ulkomaiset y�pymiset Rovaniemi"
"1995M01",17,1120,46.1,48.99,2220,33.6,33.76,22.59,22117,9018,13099
"1995M02",16,1077,60.4,48.88,2133,42.2,36.05,29.54,24292,9673,14619
"1995M03",17,1120,57.0,49.18,2219,44.5,32.11,28.05,28766,11789,16977
"1995M04",17,1120,33.9,46.95,2218,27.0,30.32,15.93,17382,11394,5988
"1995M05",17,1112,24.6,44.77,2220,17.1,32.22,11.00,11408,7845,3563
"1995M06",19,1195,58.9,47.14,2398,49.4,27.48,27.75,34466,10279,24187
"1995M07",19,1195,57.6,50.07,2511,49.5,27.70,28.85,38514,11151,27363
"1995M08",19,1195,36.5,56.06,2505,28.3,34.09,20.47,20916,9781,11135
"1995M09",17,1143,31.1,52.42,2401,23.8,32.18,16.32,16617,13548,3069
"1995M10",17,1133,27.1,46.73,2403,17.6,33.80,12.66,12537,10005,2532
"1995M11",17,1120,34.5,48.48,2360,24.8,31.64,16.73,16580,9998,6582
"1995M12",17,1118,46.7,63.12,2348,39.1,35.90,29.45,28045,7774,20271
"1996M01",16,1104,41.2,51.93,2378,28.2,36.36,21.40,20810,9800,11010
"1996M02",16,1103,47.5,55.07,2250,32.4,39.89,26.18,20730,7612,13118
"1996M03",16,1104,52.8,54.04,2252,39.1,35.83,28.51,27139,12904,14235
"1996M04",16,1104,28.1,54.88,2251,21.6,35.35,15.42,14199,9405,4794
"1996M05",16,992,26.5,54.39,2031,18.7,37.30,14.43,11108,7067,4041
"1996M06",18,1167,52.7,49.03,2418,42.0,29.75,25.83,29771,11544,18227
"1996M07",18,1166,44.0,47.81,2417,39.4,26.00,21.01,29604,10482,19122
"1996M08",18,1171,32.7,51.37,2424,25.8,31.42,16.81,18909,9047,9862
"1996M09",16,1103,34.4,51.88,2236,24.9,35.34,17.86,16429,13265,3164
